hidden_layer_nodes,loss,optimizer,activation,epoch,seed,layer,correct
50,mse,rmsprop,relu,10,1186583295,2,0.7351027842831122
50,mse,rmsprop,linear,10,1237537722,1,0.7408274785323966
50,mse,adam,relu,10,2997125486,1,0.7593026281550872
50,mse,adam,relu,10,1123540851,2,0.7056986729117877
50,mse,adam,relu,10,1667340721,3,0.7785584179026802
50,mse,adam,linear,10,4282789084,1,0.7043976060369503
50,mse,adam,linear,10,3141670293,2,0.7270361696591204
50,mse,adam,linear,10,2114103238,3,0.7155867811605516
100,mse,rmsprop,relu,5,800641607,2,0.7330210772833724
100,mse,rmsprop,relu,10,2750408544,1,0.7301587301587301
100,mse,rmsprop,relu,10,2456359230,2,0.7231329690346083
100,mse,rmsprop,relu,10,1744896445,3,0.8170699973978662
100,mse,rmsprop,linear,10,2851630969,1,0.7686703096539163
100,mse,rmsprop,linear,10,1262002378,2,0.7210512620348686
100,mse,adam,relu,5,1118437196,3,0.726255529534218
100,mse,adam,relu,10,479374504,1,0.760343481654957
100,mse,adam,relu,10,1998222763,2,0.8425709081446786
100,mse,adam,relu,10,1167404306,3,0.8084829560239396
100,mse,adam,linear,10,2762044045,2,0.7023158990372105
100,mse,adam,linear,10,953832435,3,0.7158469945355191
300,mse,rmsprop,relu,5,841807400,3,0.7059588862867552
300,mse,rmsprop,relu,10,1115218787,1,0.7848035389018996
300,mse,rmsprop,relu,10,4292214297,2,0.750975800156128
300,mse,rmsprop,relu,10,862972850,3,0.736664064532917
300,mse,adam,relu,5,562717592,1,0.7311995836586
300,mse,adam,relu,10,1246550498,1,0.8329430132708822
300,mse,adam,relu,10,251872415,2,0.8079625292740047
300,mse,adam,relu,10,1088395567,3,0.8342440801457195
